================================================================================
COSMETIKALUX.RU — КАРТОЧКИ ТОВАРОВ
Дата сбора: 2026-03-23
================================================================================

Всего товаров с ценами: 494
Всего уникальных URL товаров: 478

--------------------------------------------------------------------------------
№     | Название                                                | Бренд              | Цена       | Ед.изм    
--------------------------------------------------------------------------------
1     | Vitamins C + D for Beauty & Health                      | Generic            | 1,500₽     |           
2     | Aodziru Classic" Barley Leaf Powder Drink               | Yuwa               | 950₽       |           
3     | Aodziru Classic" Barley Leaf Powder Drink               | Yuwa               | 1,500₽     |           
4     | Alpha-Lipoic Acid                                       | DHC                | 2,000₽     |           
5     | Vitamin C Chewable Lemon                                | Unimat Riken ZOO   | 1,100₽     |           
6     | Touty Extract                                           | Generic            | 1,400₽     |           
7     | Chewable Vitamin C Lemon                                | ORIHIRO            | 600₽       |           
8     | Iron + Folic Acid + Vitamins                            | ORIHIRO            | 600₽       |           
9     | Premium B-Complex Gold                                  | Nutri d-day        | 1,100₽     |           
10    | Magnesium Multifunctional                               | Nutri-D Day        | 1,600₽     |           
11    | | 3 | Children's Underwear Set (10pcs)                  | Guess              | 3,800₽     | 59175803  
12    | | 5 | Children's Tank Tops (5pcs)                       | Guess              | 3,800₽     | 59181630  
13    | | 7 | Natural Cleansing Sponges                         | MakeUp             | 250₽       | 59670084  
14    | | 9 | Women's Disposable Razor (3pcs)                   | Feather PIANY      | 300₽       | 60375600  
15    | Travel Bottle Set (7pcs)                                | Vijam              | 320₽       | 60480461  
16    | | 28 | Powder Puff (2pcs)                               | Olive Deco         | 200₽       | 60480481  
17    | | 30 | Rose Quartz Gua Sha Scraper                      | Ayoume             | 1,200₽     | 60489606  
18    | | 32 | Pore Extractor Tool                              | Singi              | 350₽       | 60489635  
19    | | 34 | Aroma Diffuser                                   | Sandokkaebi        | 700₽       | 60490038  
20    | Antibacterial herbal ointment for psoriasis, dermatitis | Duba               | 350₽       | 15g       
21    | Living skin ointment                                    | ЖИВАЯ КОЖА         | 1,100₽     | 100g      
22    | Living skin ointment                                    | ЖИВАЯ КОЖА         | 350₽       | 11g       
23    | Ointment for stomatitis                                 | Taisho A           | 750₽       | 6g        
24    | Hibi Pro Liquid Bandage                                 | Mentholatum        | 700₽       | 10g       
25    | Antifungal gel for nails and toes                       | Rohto Medical Exci | 1,000₽     | 15g       
26    | Papilloma and wart removal product                      | Hap Ycon Ibokorori | 800₽       | 10ml      
27    | Cooling lotion for insect bites                         | Tamsaŭ             | 500₽       | 60ml      
28    | Ointment for psoriasis, dermatitis, vitiligo            | MIAO YAO QI YANG J | 360₽       | 15g       
29    | Scar and keloid care gel                                | IYA Derma Scar Gel | 1,700₽     | 15g       
30    | SOY ISOFLAVONE                                          | FUJIMA             | 3,150₽     |           
31    | Комплекс для женщин 40+ на травах Inochi no Haha A      | KOBAYASHI          | 4,400₽     |           
32    | Комплекс для женского здоровья от 20 до 40 лет Harmony  | FUJIMA             | 3,200₽     |           
33    | Boukoren (противовоспалительное средство при цистите)   | Boukoren           | 1,500₽     |           
34    | Pomegranate Seed Extract                                | DHC                | 850₽       |           
35    | Мультивитамины Мать жизни 20–40 лет                     | KOBAYASHI          | 3,950₽     |           
36    | Гранат для женского здоровья                            | Fine Japan         | 2,500₽     |           
37    | Mama Style Charge (витамины для беременных)             | WAKODO             | 650₽       | —         
38    | Фолиевая кислота + кальций + железо для беременных      | Pigeon             | 1,150₽     | —         
39    | Мать жизни для женщин 55+                               | KOBAYASHI          | 1,900₽     |           
40    | DHA + D для беременных                                  | Pigeon             | 1,500₽     |           
41    | Pomegranate Premium Quality                             | Holidays           | 1,500₽     |           
42    | Зубная паста с микропудрой для защиты от кариеса        | Generic            | 330₽       | 1         
43    | Зубная паста Etiquette, освежающего действия            | Lion               | 300₽       | 130g      
44    | Clinica Kids Toothpaste Детская зубная паста            | Lion               | 300₽       | 60g       
45    | Clear Clean Grape со вкусом дыни                        | KAO                | 260₽       | 70g       
46    | Clear Clean Grape со вкусом винограда                   | KAO                | 260₽       | 70g       
47    | Clear Clean Grape со вкусом клубники                    | KAO                | 260₽       | 70g       
48    | Детская зубная паста слабообразивная, со вкусом дыни    | Lion               | 200₽       | 40g       
49    | Детская зубная паста с ароматом клубники                | Lion               | 200₽       | 40g       
50    | Nano Silver Toothbrush                                  | Mashimaro          | 160₽       |           
51    | Nonio Pure Fruity Mint                                  | Lion               | 470₽       | 5ml       
52    | Ion Ag Toothbrush                                       | Mashimaro          | 170₽       |           
53    | Nonio Clear Herb Mint                                   | Lion               | 470₽       | 5ml       
54    | FaFa Make a New Habit мятный вкус                       | Nissan             | 580₽       | 473ml     
55    | FaFa Make a New Habit фруктово-цитрусовый               | Nissan             | 580₽       | 473ml     
56    | FaFa Make a New Habit черная мята                       | Nissan             | 580₽       | 473ml     
57    | Зубная щетка с двойной тонкой щетиной                   | Guanbo             | 200₽       |           
58    | Gold Nano Toothbrush Fusion Slim                        | Right Life         | 170₽       |           
59    | Зубная щетка средней жесткости                          | EBISU              | 150₽       |           
60    | Clinica зубная нить с пластиковым держателем            | Lion               | 500₽       | 1         
61    | Clinica Sponge Floss                                    | Lion               | 650₽       | 40m       
62    | Clinica Шелковистая особотонкая зубная нить             | Lion               | 650₽       | 40m       
63    | Kids safe toothbrush                                    | Generic            | 160₽       |           
64    | Misorang Toothbrush                                     | Misorang           | 150₽       |           
65    | Детская зубная щетка Синий кот                          | Generic            | 170₽       |           
66    | Ebisu межзубный ершик SSSS                              | EBISU              | 400₽       |           
67    | Ёршик межзубный резиновый прямой формы                  | EBISU              | 450₽       |           
68    | EBISU с тонкой распушеной зубной нитью                  | EBISU              | 520₽       |           
69    | Флосспик с тонкой зубной нитью                          | EBISU              | 460₽       |           
